id,cpf,nome,data,inicio,fim,analista,cliente,fila,resultado,motivo,hora
ID-1000,779.345.409-25,Usuario Exemplo 0,2026-02-20,2026-03-29 15:39:00,16:18:00,Analista 28,Cliente 4,Fila 11,Aprovado,Fluxo Normal,15:00
ID-1001,553.742.514-92,Usuario Exemplo 1,2026-01-29,2026-03-29 16:36:00,17:21:00,Analista 8,Cliente 5,Fila 10,Reprovado Fraude,Divergência Cadastral,16:00
ID-1002,245.932.531-72,Usuario Exemplo 2,2026-03-13,2026-03-29 15:53:00,16:36:00,Analista 5,Cliente 6,Fila 18,Reprovado Fraude,Documentação Irregular,15:00
ID-1003,928.358.586-77,Usuario Exemplo 3,2026-02-21,2026-03-29 17:43:00,18:22:00,Analista 7,Cliente 2,Fila 4,Reprovado Fraude,Perfil de Risco,17:00
ID-1004,740.583.422-58,Usuario Exemplo 4,2026-03-21,2026-03-29 11:49:00,12:23:00,Analista 19,Cliente 4,Fila 3,Aprovado,Fluxo Normal,11:00
ID-1005,587.972.976-88,Usuario Exemplo 5,2026-03-23,2026-03-29 13:07:00,13:12:00,Analista 12,Cliente 4,Fila 15,Reprovado Fraude,Perfil de Risco,13:00
ID-1006,772.111.629-93,Usuario Exemplo 6,2026-03-20,2026-03-29 16:37:00,16:53:00,Analista 24,Cliente 3,Fila 8,Aprovado,Fluxo Normal,16:00
ID-1007,881.334.530-80,Usuario Exemplo 7,2026-03-20,2026-03-29 08:01:00,08:29:00,Analista 17,Cliente 3,Fila 6,Pendente,Aguardando Documento,08:00
ID-1008,276.509.822-59,Usuario Exemplo 8,2026-03-29,2026-03-29 13:15:00,13:32:00,Analista 8,Cliente 4,Fila 14,Pendente,Aguardando Documento,13:00
ID-1009,889.411.286-12,Usuario Exemplo 9,2026-03-03,2026-03-29 14:29:00,14:34:00,Analista 22,Cliente 2,Fila 9,Pendente,Aguardando Documento,14:00
ID-1010,792.506.512-89,Usuario Exemplo 10,2026-02-23,2026-03-29 11:34:00,12:03:00,Analista 9,Cliente 3,Fila 5,Aprovado,Fluxo Normal,11:00
